name,stats_legend,full_stats_according_to_legend
Chris Boucher,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1628449, '2017-18', '00', 1610612744, 'GSW', 25.0, 1, 0, 1, 0, 1, 0.0, 0, 1, 0.0, 0, 0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [1628449, '2018-19', '00', 1610612761, 'TOR', 26.0, 28, 0, 163, 34, 76, 0.447, 12, 37, 0.324, 13, 15, 0.867, 16, 40, 56, 2, 6, 24, 7, 31, 93], [1628449, '2019-20', '00', 1610612761, 'TOR', 27.0, 62, 0, 819, 141, 299, 0.472, 38, 118, 0.322, 91, 116, 0.784, 107, 170, 277, 26, 22, 61, 28, 114, 411], [1628449, '2020-21', '00', 1610612761, 'TOR', 28.0, 60, 14, 1453, 288, 560, 0.514, 90, 235, 0.383, 152, 193, 0.788, 117, 287, 404, 63, 35, 111, 46, 166, 818], [1628449, '2021-22', '00', 1610612761, 'TOR', 29.0, 80, 9, 1690, 268, 577, 0.464, 68, 229, 0.297, 150, 193, 0.777, 179, 315, 494, 25, 49, 75, 42, 174, 754], [1628449, '2022-23', '00', 1610612761, 'TOR', 30.0, 76, 0, 1523, 261, 529, 0.493, 62, 189, 0.328, 128, 168, 0.762, 157, 264, 421, 29, 47, 64, 41, 143, 712], [1628449, '2023-24', '00', 1610612761, 'TOR', 31.0, 50, 0, 705, 110, 217, 0.507, 31, 94, 0.33, 71, 92, 0.772, 62, 145, 207, 23, 14, 24, 28, 68, 322], [1628449, '2024-25', '00', 1610612761, 'TOR', 32.0, 50, 0, 862, 182, 370, 0.492, 70, 193, 0.363, 68, 87, 0.782, 70, 154, 224, 33, 24, 25, 29, 68, 502]]"
Jamaree Bouyea,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1631123, '2022-23', '00', 1610612748, 'MIA', 24.0, 4, 0, 65, 6, 13, 0.462, 2, 5, 0.4, 1, 2, 0.5, 1, 4, 5, 4, 4, 2, 4, 5, 15], [1631123, '2022-23', '00', 1610612764, 'WAS', 24.0, 1, 0, 6, 0, 1, 0.0, 0, 1, 0.0, 0, 0, 0.0, 0, 1, 1, 0, 0, 0, 0, 1, 0], [1631123, '2022-23', '00', 0, 'TOT', 24.0, 5, 0, 71, 6, 14, 0.429, 2, 6, 0.333, 1, 2, 0.5, 1, 5, 6, 4, 4, 2, 4, 6, 15], [1631123, '2023-24', '00', 1610612757, 'POR', 25.0, 6, 0, 57, 5, 21, 0.238, 0, 8, 0.0, 0, 0, 0.0, 2, 8, 10, 8, 0, 0, 8, 3, 10], [1631123, '2023-24', '00', 1610612759, 'SAS', 25.0, 3, 0, 38, 5, 7, 0.714, 1, 1, 1.0, 0, 0, 0.0, 1, 8, 9, 3, 1, 0, 1, 7, 11], [1631123, '2023-24', '00', 0, 'TOT', 25.0, 9, 0, 95, 10, 28, 0.357, 1, 9, 0.111, 0, 0, 0.0, 3, 16, 19, 11, 1, 0, 9, 10, 21], [1631123, '2024-25', '00', 1610612749, 'MIL', 25.0, 5, 1, 62, 6, 12, 0.5, 1, 5, 0.2, 4, 6, 0.667, 1, 4, 5, 10, 4, 2, 8, 2, 17]]"
Tony Bradley,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1628396, '2017-18', '00', 1610612762, 'UTA', 20.0, 9, 0, 29, 3, 11, 0.273, 0, 1, 0.0, 2, 2, 1.0, 4, 7, 11, 1, 0, 0, 0, 1, 8], [1628396, '2018-19', '00', 1610612762, 'UTA', 21.0, 3, 0, 36, 8, 16, 0.5, 0, 0, 0.0, 1, 2, 0.5, 9, 6, 15, 1, 2, 2, 3, 6, 17], [1628396, '2019-20', '00', 1610612762, 'UTA', 22.0, 58, 3, 663, 126, 189, 0.667, 3, 3, 1.0, 30, 46, 0.652, 111, 156, 267, 23, 14, 33, 30, 115, 285], [1628396, '2020-21', '00', 1610612755, 'PHI', 23.0, 20, 8, 287, 51, 75, 0.68, 0, 1, 0.0, 7, 11, 0.636, 39, 65, 104, 17, 6, 13, 6, 28, 109], [1628396, '2020-21', '00', 1610612760, 'OKC', 23.0, 22, 0, 397, 80, 122, 0.656, 0, 2, 0.0, 31, 44, 0.705, 46, 89, 135, 20, 9, 17, 27, 33, 191], [1628396, '2020-21', '00', 0, 'TOT', 23.0, 42, 8, 684, 131, 197, 0.665, 0, 3, 0.0, 38, 55, 0.691, 85, 154, 239, 37, 15, 30, 33, 61, 300], [1628396, '2021-22', '00', 1610612741, 'CHI', 24.0, 55, 7, 549, 72, 123, 0.585, 0, 0, 0.0, 19, 29, 0.655, 67, 119, 186, 27, 10, 33, 34, 62, 163], [1628396, '2022-23', '00', 1610612741, 'CHI', 25.0, 12, 0, 33, 6, 12, 0.5, 3, 5, 0.6, 4, 4, 1.0, 1, 10, 11, 1, 1, 1, 1, 2, 19], [1628396, '2024-25', '00', 1610612754, 'IND', 27.0, 14, 0, 113, 29, 45, 0.644, 1, 3, 0.333, 2, 6, 0.333, 18, 24, 42, 6, 2, 9, 5, 11, 61]]"
Malaki Branham,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1631103, '2022-23', '00', 1610612759, 'SAS', 20.0, 66, 32, 1550, 269, 611, 0.44, 77, 255, 0.302, 58, 70, 0.829, 28, 153, 181, 127, 33, 7, 76, 115, 673], [1631103, '2023-24', '00', 1610612759, 'SAS', 21.0, 75, 29, 1594, 271, 628, 0.432, 93, 268, 0.347, 55, 63, 0.873, 28, 120, 148, 156, 27, 8, 91, 94, 690], [1631103, '2024-25', '00', 1610612759, 'SAS', 21.0, 47, 0, 427, 87, 190, 0.458, 34, 84, 0.405, 27, 33, 0.818, 7, 44, 51, 38, 11, 2, 34, 29, 235]]"
Christian Braun,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1631128, '2022-23', '00', 1610612743, 'DEN', 22.0, 76, 6, 1181, 143, 289, 0.495, 34, 96, 0.354, 40, 64, 0.625, 48, 133, 181, 59, 41, 17, 35, 101, 360], [1631128, '2023-24', '00', 1610612743, 'DEN', 23.0, 82, 4, 1656, 222, 483, 0.46, 63, 164, 0.384, 93, 134, 0.694, 79, 227, 306, 132, 42, 35, 55, 137, 600], [1631128, '2024-25', '00', 1610612743, 'DEN', 24.0, 79, 77, 2675, 476, 821, 0.58, 89, 224, 0.397, 177, 214, 0.827, 98, 312, 410, 205, 85, 37, 81, 170, 1218]]"
Jalen Bridges,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1641779, '2024-25', '00', 1610612756, 'PHX', 23.0, 8, 0, 30, 2, 7, 0.286, 2, 7, 0.286, 3, 4, 0.75, 0, 4, 4, 0, 0, 0, 4, 0, 9]]"
Mikal Bridges,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1628969, '2018-19', '00', 1610612756, 'PHX', 22.0, 82, 56, 2417, 242, 563, 0.43, 105, 313, 0.335, 95, 118, 0.805, 56, 208, 264, 173, 129, 38, 70, 201, 684], [1628969, '2019-20', '00', 1610612756, 'PHX', 23.0, 73, 32, 2042, 247, 484, 0.51, 70, 194, 0.361, 103, 122, 0.844, 66, 226, 292, 129, 102, 46, 73, 163, 667], [1628969, '2020-21', '00', 1610612756, 'PHX', 24.0, 72, 72, 2348, 363, 669, 0.543, 134, 315, 0.425, 110, 131, 0.84, 76, 233, 309, 152, 76, 63, 57, 116, 970], [1628969, '2021-22', '00', 1610612756, 'PHX', 25.0, 82, 82, 2854, 458, 858, 0.534, 115, 312, 0.369, 131, 157, 0.834, 74, 273, 347, 185, 96, 36, 68, 150, 1162], [1628969, '2022-23', '00', 1610612756, 'PHX', 26.0, 56, 56, 2040, 354, 764, 0.463, 101, 261, 0.387, 156, 174, 0.897, 56, 187, 243, 201, 65, 45, 78, 115, 965], [1628969, '2022-23', '00', 1610612751, 'BKN', 26.0, 27, 27, 923, 239, 503, 0.475, 68, 181, 0.376, 160, 179, 0.894, 23, 98, 121, 72, 26, 16, 49, 44, 706], [1628969, '2022-23', '00', 0, 'TOT', 26.0, 83, 83, 2963, 593, 1267, 0.468, 169, 442, 0.382, 316, 353, 0.895, 79, 285, 364, 273, 91, 61, 127, 159, 1671], [1628969, '2023-24', '00', 1610612751, 'BKN', 27.0, 82, 82, 2854, 564, 1294, 0.436, 220, 592, 0.372, 258, 317, 0.814, 68, 304, 372, 299, 81, 30, 164, 116, 1606], [1628969, '2024-25', '00', 1610612752, 'NYK', 28.0, 82, 82, 3036, 592, 1183, 0.5, 164, 463, 0.354, 96, 118, 0.814, 71, 188, 259, 306, 75, 43, 132, 127, 1444]]"
Miles Bridges,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1628970, '2018-19', '00', 1610612766, 'CHA', 21.0, 80, 25, 1696, 237, 511, 0.464, 65, 200, 0.325, 58, 77, 0.753, 67, 256, 323, 95, 55, 49, 50, 111, 597], [1628970, '2019-20', '00', 1610612766, 'CHA', 22.0, 65, 64, 1996, 319, 753, 0.424, 99, 300, 0.33, 106, 131, 0.809, 88, 274, 362, 114, 40, 48, 95, 132, 843], [1628970, '2020-21', '00', 1610612766, 'CHA', 23.0, 66, 19, 1932, 313, 622, 0.503, 116, 290, 0.4, 98, 113, 0.867, 81, 316, 397, 147, 44, 52, 106, 143, 840], [1628970, '2021-22', '00', 1610612766, 'CHA', 24.0, 80, 80, 2837, 596, 1214, 0.491, 154, 465, 0.331, 267, 333, 0.802, 90, 469, 559, 300, 74, 67, 150, 193, 1613], [1628970, '2023-24', '00', 1610612766, 'CHA', 26.0, 69, 67, 2581, 559, 1210, 0.462, 157, 450, 0.349, 174, 211, 0.825, 71, 434, 505, 231, 65, 33, 138, 118, 1449], [1628970, '2024-25', '00', 1610612766, 'CHA', 27.0, 64, 64, 2029, 469, 1089, 0.431, 141, 450, 0.313, 221, 254, 0.87, 72, 409, 481, 248, 44, 45, 136, 93, 1300]]"
Oshae Brissett,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1629052, '2019-20', '00', 1610612761, 'TOR', 22.0, 19, 0, 135, 13, 36, 0.361, 3, 15, 0.2, 8, 10, 0.8, 9, 17, 26, 7, 4, 1, 7, 18, 37], [1629052, '2020-21', '00', 1610612754, 'IND', 23.0, 21, 16, 519, 73, 151, 0.483, 33, 78, 0.423, 50, 65, 0.769, 29, 86, 115, 18, 19, 20, 10, 32, 229], [1629052, '2021-22', '00', 1610612754, 'IND', 24.0, 67, 25, 1564, 208, 506, 0.411, 83, 237, 0.35, 114, 164, 0.695, 108, 250, 358, 72, 44, 29, 54, 116, 613], [1629052, '2022-23', '00', 1610612754, 'IND', 25.0, 65, 2, 1083, 123, 319, 0.386, 48, 155, 0.31, 104, 145, 0.717, 62, 156, 218, 44, 33, 13, 34, 79, 398], [1629052, '2023-24', '00', 1610612738, 'BOS', 26.0, 55, 1, 630, 68, 153, 0.444, 15, 55, 0.273, 50, 83, 0.602, 61, 99, 160, 44, 19, 8, 20, 54, 201], [1629052, '2024-25', '00', 1610612755, 'PHI', 26.0, 6, 2, 142, 19, 39, 0.487, 6, 18, 0.333, 8, 14, 0.571, 7, 15, 22, 4, 4, 3, 8, 14, 52]]"
Malcolm Brogdon,"['PLAYER_ID', 'SEASON_ID', 'LEAGUE_ID', 'TEAM_ID', 'TEAM_ABBREVIATION', 'PLAYER_AGE', 'GP', 'GS', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS']","[[1627763, '2016-17', '00', 1610612749, 'MIL', 24.0, 75, 28, 1982, 290, 635, 0.457, 78, 193, 0.404, 109, 126, 0.865, 47, 166, 213, 317, 84, 12, 113, 140, 767], [1627763, '2017-18', '00', 1610612749, 'MIL', 25.0, 48, 20, 1436, 244, 503, 0.485, 62, 161, 0.385, 75, 85, 0.882, 23, 133, 156, 152, 41, 13, 66, 128, 625], [1627763, '2018-19', '00', 1610612749, 'MIL', 26.0, 64, 64, 1832, 378, 748, 0.505, 104, 244, 0.426, 141, 152, 0.928, 65, 223, 288, 205, 46, 13, 91, 102, 1001], [1627763, '2019-20', '00', 1610612754, 'IND', 27.0, 54, 54, 1666, 326, 744, 0.438, 75, 230, 0.326, 166, 186, 0.892, 46, 216, 262, 381, 35, 10, 131, 98, 893], [1627763, '2020-21', '00', 1610612754, 'IND', 28.0, 56, 56, 1930, 444, 980, 0.453, 145, 374, 0.388, 153, 177, 0.864, 58, 236, 294, 329, 49, 15, 115, 110, 1186], [1627763, '2021-22', '00', 1610612754, 'IND', 29.0, 36, 36, 1206, 243, 543, 0.448, 58, 186, 0.312, 143, 167, 0.856, 33, 152, 185, 212, 30, 14, 77, 71, 687], [1627763, '2022-23', '00', 1610612738, 'BOS', 30.0, 67, 0, 1744, 354, 732, 0.484, 132, 297, 0.444, 160, 184, 0.87, 42, 238, 280, 248, 45, 18, 98, 109, 1000], [1627763, '2023-24', '00', 1610612757, 'POR', 31.0, 39, 25, 1121, 218, 496, 0.44, 82, 199, 0.412, 95, 116, 0.819, 28, 120, 148, 214, 27, 8, 60, 58, 613], [1627763, '2024-25', '00', 1610612764, 'WAS', 32.0, 24, 13, 564, 104, 240, 0.433, 16, 56, 0.286, 81, 92, 0.88, 21, 70, 91, 98, 13, 5, 38, 30, 305]]"
