Team,player_id,name,status,position_type,eligible_positions,selected_position
Uri's Unmatched Team,5161,CJ McCollum,,P,"['PG', 'SG', 'G', 'Util']",PG
Uri's Unmatched Team,5475,Kelly Oubre Jr.,,P,"['SG', 'G', 'SF', 'F', 'Util']",SG
Uri's Unmatched Team,5433,D'Angelo Russell,,P,"['PG', 'SG', 'G', 'Util']",G
Uri's Unmatched Team,4614,DeMar DeRozan,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",SF
Uri's Unmatched Team,10080,Trayce Jackson-Davis,,P,"['PF', 'F', 'C', 'Util']",PF
Uri's Unmatched Team,5658,Pascal Siakam,,P,"['PF', 'F', 'C', 'Util']",F
Uri's Unmatched Team,5327,Jusuf Nurkić,,P,"['C', 'Util']",C
Uri's Unmatched Team,6420,Jaden McDaniels,,P,"['SF', 'PF', 'F', 'Util']",Util
Uri's Unmatched Team,6753,Keon Ellis,,P,"['SG', 'G', 'SF', 'F', 'Util']",Util
Uri's Unmatched Team,6695,Jaden Ivey,,P,"['PG', 'SG', 'G', 'Util']",Util
Uri's Unmatched Team,4244,Kevin Durant,,P,"['SF', 'PF', 'F', 'Util']",BN
Uri's Unmatched Team,6418,Payton Pritchard,,P,"['PG', 'SG', 'G', 'Util']",BN
Uri's Unmatched Team,5842,Derrick White,,P,"['PG', 'SG', 'G', 'Util']",BN
Uri's Unmatched Team,5318,Julius Randle,GTD,P,"['PF', 'F', 'Util', 'IL+']",IL
The Boorkini youth movement,10108,Amen Thompson,,P,"['PG', 'SG', 'G', 'SF', 'F', 'Util']",PG
The Boorkini youth movement,6216,Jordan Poole,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",SG
The Boorkini youth movement,4725,Paul George,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",G
The Boorkini youth movement,4896,Kawhi Leonard,GTD,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util', 'IL+']",SF
The Boorkini youth movement,6549,Jonathan Kuminga,,P,"['PF', 'F', 'Util']",PF
The Boorkini youth movement,6028,Donte DiVincenzo,,P,"['SG', 'G', 'SF', 'F', 'Util']",F
The Boorkini youth movement,6402,Jalen Smith,,P,"['PF', 'F', 'C', 'Util']",C
The Boorkini youth movement,5754,Alex Caruso,,P,"['PG', 'SG', 'G', 'Util']",Util
The Boorkini youth movement,6694,Keegan Murray,,P,"['SF', 'PF', 'F', 'Util']",Util
The Boorkini youth movement,6053,Bruce Brown,,P,"['PG', 'SG', 'G', 'SF', 'F', 'Util']",Util
